video_id,views,likes,duration,category,has_questions,has_exclamations,has_numbers,has_emoji,title_caps_ratio,emoji_count,title_word_count,title_char_count,clickbait_count,clickbait_ratio,has_clickbait,des_caps_ratio,des_word_count,des_char_count,des_avg_word_len,channel_word_count,channel_char_count,channel_freq,tags_count,days_since_upload,upload_month,upload_day,upload_hour,is_weekend,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,category_label
ko70cExuzZM,76642269.0,1546159.0,239,6,0,0,0,0,0.0,0,9,54,0,0.0,0,0.0,61,756,11.114752276270117,2,12,1,9,16,10,5,23,1,0,0,0,0,0,0,1,Music
6wmDlk-7aMk,17430015.0,37107.0,183,6,0,0,0,0,0.4285708163274053,2,6,37,0,0.0,0,0.06611569701523165,107,1085,8.89719543016865,2,10,1,10,82,7,31,16,0,0,0,0,1,0,0,0,Music
sr_qh33LsKQ,6876836.0,106261.0,116,6,0,0,0,0,0.0,0,4,28,0,0.0,0,0.0,17,259,14.058815259520436,1,6,1,17,7,10,14,4,0,0,1,0,0,0,0,0,Music
1SQLXUH4JSc,11063192.0,41407.0,238,6,0,0,0,0,0.0,12,7,39,0,0.0,0,0.030612241774261043,76,934,10.249998651315966,3,12,1,23,283,1,11,4,0,0,0,0,0,0,1,0,Music
4gms7g5Nqa0,63422.0,4760.0,302,6,0,0,0,0,0.0,0,8,48,1,0.12499984375019532,1,0.0,12,73,5.1666623611147,1,15,1,3,0,10,21,20,0,0,1,0,0,0,0,0,Music
vB0V3iCSzQw,126572102.0,1309940.0,152,6,0,0,0,0,0.7999984000032001,1,4,23,0,0.0,0,0.03723404057265742,160,1344,7.0937495566406525,2,13,1,9,76,8,6,5,0,0,0,1,0,0,0,0,Music
fTKqtvXjkvo,14210447.0,35858.0,8982,6,0,0,1,1,0.0,2,11,66,2,0.1818180165290759,1,0.016042780462695538,532,3127,4.8045111878851285,2,12,1,26,116,6,27,18,1,0,0,0,0,1,0,0,Music
4xq5QzNG-m8,58967.0,18477.0,273,6,0,0,0,0,0.22222197530891633,0,8,45,1,0.12499984375019532,1,0.0630797761951804,531,3729,5.977401017374746,1,8,3,8,-1,10,22,17,0,0,0,1,0,0,0,0,Music
b6-JNeXxN3s,54658115.0,517065.0,289,6,0,0,0,0,0.0,1,8,49,0,0.0,0,0.05133928456831954,446,2499,4.5156949660158086,1,7,1,29,452,7,26,4,1,0,0,0,0,1,0,0,Music
-ORL3V6dqG8,8660733.0,194699.0,60,6,0,0,0,0,0.0,0,4,23,0,0.0,0,0.0,17,133,6.882348892735946,4,31,7,24,155,5,19,2,0,1,0,0,0,0,0,0,Music
9jE-wsqsNmQ,66629.0,6654.0,202,6,0,0,0,0,0.0,2,8,51,0,0.0,0,0.009433961374154587,104,800,6.634614746671659,1,5,1,51,-1,10,22,13,0,0,0,1,0,0,0,0,Music
izbydia9jz4,105263295.0,609024.0,229,6,0,0,0,0,0.0,1,13,93,0,0.0,0,0.27925531172193324,319,2556,6.768024866206118,3,16,3,19,188,4,16,12,0,0,0,1,0,0,0,0,Music
Oa_RSwwpPaA,825017805.0,5872442.0,193,6,0,0,0,0,0.0,1,7,51,0,0.0,0,0.0776119379817332,331,1920,4.722054238004404,2,12,1,22,642,1,18,23,0,0,0,0,1,0,0,0,Music
efxiDBygvdg,107637268.0,1167980.0,179,6,0,0,0,0,0.0,0,8,50,0,0.0,0,0.08355091165663417,379,2433,5.3456462969486465,1,5,1,22,2736,4,25,14,0,0,0,1,0,0,0,0,Music
cswfR85D7jM,29728280.0,391965.0,219,6,0,0,0,0,0.0,0,8,45,1,0.12499984375019532,1,0.01886792334164004,153,1358,7.7777772694263225,2,11,1,22,536,5,3,4,1,0,0,0,0,1,0,0,Music
G5c7jBadE9A,2084978.0,60880.0,19,6,1,0,1,1,0.0,6,4,22,0,0.0,0,0.0067114089455430235,144,957,5.59027738956407,2,11,5,5,29,9,22,23,0,1,0,0,0,0,0,0,Music
hwUixddbmrQ,5210373.0,86215.0,213,6,0,0,0,0,0.11111098765445816,1,8,48,0,0.0,0,0.03640776610660762,410,2263,4.463414525282573,1,16,2,3,20,10,1,17,0,0,0,1,0,0,0,0,Music
fN_Vq5FMTWs,15897139.0,329855.0,16,6,0,0,0,1,0.0,6,4,25,0,0.0,0,0.06382978270710761,136,818,4.955881988538089,2,11,5,3,28,9,23,20,0,0,1,0,0,0,0,0,Music
JZoJZzVly9Q,1541480.0,12205.0,56,6,0,0,1,1,0.0,9,15,93,0,0.0,0,0.0,145,921,5.303447910107041,2,13,2,20,344,11,11,8,0,1,0,0,0,0,0,0,Music
YcpMVsvK8pk,1113610.0,93686.0,269,6,0,0,0,0,0.0,0,6,46,0,0.0,0,0.03448274673008733,28,336,10.857138979593222,1,20,1,25,0,10,21,2,0,0,1,0,0,0,0,0,Music
gXAnRuVlAvk,33715341.0,331835.0,168,6,0,0,0,0,0.0,0,6,38,0,0.0,0,0.16292133916172252,167,1240,6.173652324930998,1,7,1,39,130,6,13,14,1,0,0,0,0,1,0,0,Music
cFjTcxZTZJg,38959905.0,88349.0,206,6,0,0,0,0,0.0,0,3,29,0,0.0,0,0.0,17,196,10.294111591699064,1,10,1,39,52,8,30,14,0,0,0,0,0,0,1,0,Music
GodmYPfMaio,2351366.0,81461.0,214,6,0,0,0,0,0.0,1,9,51,0,0.0,0,0.03703703017832774,50,516,9.139998172000364,1,13,1,3,0,10,21,17,0,0,1,0,0,0,0,0,Music
VT2qF97pQNw,170112348.0,1177840.0,173,6,0,0,0,0,0.39999920000160005,0,4,26,0,0.0,0,0.10714283801020749,42,480,9.928569064626412,1,4,2,4,230,3,5,17,0,0,0,1,0,0,0,0,Music
sCkUYyYtqRI,373019.0,28574.0,165,6,0,0,0,0,0.14285707482996438,1,16,90,0,0.0,0,0.07246376601554302,298,2311,6.557046759830646,3,16,3,16,-1,10,22,12,0,0,0,1,0,0,0,0,Music
b6qMzBBdp1Q,4952706.0,132499.0,59,6,0,0,1,1,0.0,65,12,92,3,0.24999979166684028,1,0.025437201503383126,591,4288,6.055837460984138,2,12,1,1,24,9,27,13,0,0,0,0,0,0,1,0,Music
2VKJ79yLDnc,3166471.0,120510.0,60,6,0,0,0,0,0.0,0,5,26,0,0.0,0,0.0,17,124,6.352937439448565,4,31,7,17,84,7,29,4,0,0,1,0,0,0,0,0,Music
AK-OfzFRO_A,5680097.0,62050.0,169,6,0,0,0,0,0.0,2,7,62,0,0.0,0,0.012345678631306216,127,1428,8.102361566743184,2,20,1,9,31,9,20,9,0,0,0,0,0,0,1,0,Music
AWDB1lGuCFk,70134.0,266.0,190,6,0,0,0,0,0.15789465373965592,9,15,86,0,0.0,0,0.018691588493900492,630,4695,6.3999998984127,2,11,1,24,6,10,15,21,0,0,0,1,0,0,0,0,Music
oXJXNLVEZUc,292340.0,19923.0,192,6,0,0,0,0,0.0,0,9,47,0,0.0,0,0.0,16,228,13.187491757817652,2,11,1,29,1,10,20,19,0,1,0,0,0,0,0,0,Music
jpZC476jE7c,22053481.0,195706.0,306,6,0,0,0,0,0.0714285204081997,0,12,74,0,0.0,0,0.31481478566529764,86,545,4.9883715129800565,2,13,1,37,55,8,27,22,0,0,0,1,0,0,0,0,Music
TzKVRsbvZaQ,10842526.0,217093.0,25,6,0,0,0,1,0.14285693877580175,6,5,27,0,0.0,0,0.01538461459566079,190,1108,4.7894734321329775,2,11,5,5,42,9,9,2,0,0,1,0,0,0,0,0,Music
rQBTZWCOU8I,469708.0,2137.0,6785,6,0,0,1,0,0.0,5,15,92,2,0.1333332444445037,1,0.02150537403168021,88,576,5.4318175645661855,3,17,4,26,26,9,25,22,0,0,0,0,1,0,0,0,Music
rQBTZWCOU8I,469708.0,2137.0,6785,6,0,0,1,0,0.0,5,15,92,2,0.1333332444445037,1,0.02150537403168021,88,576,5.4318175645661855,3,17,4,26,26,9,25,22,0,0,0,0,1,0,0,0,Music
izbydia9jz4,105263295.0,609024.0,229,6,0,0,0,0,0.0,1,13,93,0,0.0,0,0.27925531172193324,319,2556,6.768024866206118,3,16,3,19,188,4,16,12,0,0,0,1,0,0,0,0,Music
JZoJZzVly9Q,1541480.0,12205.0,56,6,0,0,1,1,0.0,9,15,93,0,0.0,0,0.0,145,921,5.303447910107041,2,13,2,20,344,11,11,8,0,1,0,0,0,0,0,0,Music
57L5pk8ryc8,10839492.0,172715.0,60,6,0,0,0,0,0.5714281632655976,0,13,90,0,0.0,0,0.0,99,929,7.888888092031506,3,13,2,29,99,7,14,15,0,1,0,0,0,0,0,0,Music
tXlb1vywL0Y,6065696.0,70108.0,19,6,0,0,0,1,0.0,6,6,69,0,0.0,0,0.0,26,192,5.9615361686399355,3,14,2,2,93,7,20,12,1,0,0,0,0,0,0,1,Music
2VKJ79yLDnc,3166471.0,120510.0,60,6,0,0,0,0,0.0,0,5,26,0,0.0,0,0.0,17,124,6.352937439448565,4,31,7,17,84,7,29,4,0,0,1,0,0,0,0,0,Music
dQuqD_7myIg,9558228.0,52550.0,11,6,0,0,0,0,0.0,0,11,93,0,0.0,0,0.0,88,669,6.49999926136372,3,15,1,28,95,7,18,10,1,0,0,0,0,1,0,0,Music
k5SzkN0AR2Y,2822580.0,19807.0,51,6,0,0,1,0,0.04761902494332146,7,18,96,1,0.055555524691375174,1,0.009345793519084718,94,678,6.063829142145836,3,17,1,28,189,4,15,10,0,0,1,0,0,0,0,0,Music
