video_id,views,likes,duration,category,has_questions,has_exclamations,has_numbers,has_emoji,title_caps_ratio,emoji_count,title_word_count,title_char_count,clickbait_count,clickbait_ratio,has_clickbait,des_caps_ratio,des_word_count,des_char_count,des_avg_word_len,channel_word_count,channel_char_count,channel_freq,tags_count,days_since_upload,upload_month,upload_day,upload_hour,is_weekend,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,category_label
ko70cExuzZM,77051145,1500000,238,5,0,0,0,0,0.0,0,9,54,0,0.0,0,0.0,9,48,4.444439506178327,2,12,1,9,17,10,5,0,1,0,0,0,0,0,0,1,Music
sr_qh33LsKQ,6916496,107000,15,5,0,0,0,0,0.0,0,4,28,0,0.0,0,0.0,7,70,8.999987142875511,1,6,1,17,8,10,14,0,0,0,1,0,0,0,0,0,Music
fTKqtvXjkvo,14235349,35000,8981,5,0,0,1,1,0.0,2,11,66,2,0.1818180165290759,1,0.0,66,383,4.818181088154381,2,12,1,26,117,6,27,0,1,0,0,0,0,1,0,0,Music
Oa_RSwwpPaA,825219529,5800000,193,5,0,0,0,0,0.0,0,7,51,0,0.0,0,0.0,18,146,6.999996111113272,2,12,1,22,643,1,18,0,0,0,0,0,1,0,0,0,Music
YcpMVsvK8pk,1239254,98000,6,5,0,0,0,0,0.0,0,6,46,0,0.0,0,0.0,6,46,6.666655555574074,2,12,1,25,2,10,20,0,0,1,0,0,0,0,0,0,Music
5GCfYLguTIs,9987113,228000,161,5,0,0,1,0,0.49999958333368055,0,10,73,0,0.0,0,0.0,5,35,5.9999880000240005,2,11,1,23,1,10,21,0,0,0,1,0,0,0,0,0,Music
b6-JNeXxN3s,54669315,517000,26,5,0,0,0,0,0.0,0,8,49,0,0.0,0,0.0,10,73,6.299993700006301,1,3,1,29,453,7,26,0,1,0,0,0,0,1,0,0,Music
Dh_HJrs7Zmg,794276,5600,5542,5,0,0,0,0,0.0,0,14,88,0,0.0,0,0.0,76,469,5.118420379155213,3,19,1,23,122,6,22,0,1,0,0,0,0,0,0,1,Music
hwUixddbmrQ,5257459,86000,21,5,0,0,0,0,0.11111098765445816,0,8,48,0,0.0,0,0.0,11,86,6.909084628104884,2,13,2,3,21,10,1,0,0,0,0,1,0,0,0,0,Music
vB0V3iCSzQw,126680459,1300000,151,5,0,0,0,0,0.7999984000032001,0,4,23,0,0.0,0,0.1428570408163994,13,80,5.076919171600637,2,13,1,9,77,8,6,0,0,0,0,1,0,0,0,0,Music
kkc5bs4RMPQ,3866285,14000,4017,5,0,0,1,1,0.0,3,7,38,1,0.14285693877580175,1,0.0,40,223,4.549998862500284,3,13,1,19,89,7,25,0,1,0,0,0,0,1,0,0,Music
cswfR85D7jM,29755829,392000,206,5,0,0,0,0,0.0,0,8,45,1,0.12499984375019532,1,0.0,7,69,8.85713020409971,2,11,1,22,537,5,3,0,1,0,0,0,0,1,0,0,Music
7uRjmrp6km4,17400,113,15,5,0,0,0,1,0.0,3,12,84,1,0.08333326388894677,1,0.0,43,269,5.23255692266118,2,14,1,18,1,10,21,0,0,0,1,0,0,0,0,0,Music
efxiDBygvdg,107668738,1100000,178,5,0,0,0,0,0.0,0,8,50,0,0.0,0,0.0,14,107,6.428566836737974,1,5,1,22,2737,4,25,0,0,0,0,1,0,0,0,0,Music
AoMcirhIqH4,415742,1700,8334,5,0,0,1,1,0.899999550000225,4,18,97,4,0.2222220987655007,1,0.899999550000225,18,97,4.333330925927264,3,15,1,16,41,9,11,0,0,0,0,0,1,0,0,0,Music
rQBTZWCOU8I,470549,2100,6784,5,0,0,1,0,0.0,2,15,92,2,0.1333332444445037,1,0.0,19,115,4.999997368422438,3,17,2,26,27,9,25,0,0,0,0,0,1,0,0,0,Music
AWDB1lGuCFk,70659,266,189,5,0,0,0,0,0.15789465373965592,2,15,86,0,0.0,0,0.09090900826453795,6,52,6.999988333352778,2,11,2,24,7,10,15,0,0,0,0,1,0,0,0,0,Music
GodmYPfMaio,2801985,89000,213,5,0,0,0,0,0.0,0,9,51,0,0.0,0,0.0,6,31,3.999993333344445,2,10,1,3,1,10,21,0,0,0,1,0,0,0,0,0,Music
ThkrLRy_KyY,1145562,3900,5326,5,0,0,1,1,0.7222218209878772,4,16,96,1,0.06249996093752441,1,0.0,19,115,4.999997368422438,3,17,2,26,62,8,21,0,0,0,0,0,1,0,0,0,Music
rV4iG4nn5Iw,5311226,50000,340,5,0,0,1,0,0.0,1,10,65,0,0.0,0,0.03225805411030513,25,152,4.839998064000774,2,8,1,33,61,8,22,0,1,0,0,0,0,1,0,0,Music
756YdTT-WJ0,73219034,393000,15,5,0,0,0,0,0.09090900826453795,0,9,63,0,0.0,0,0.0,5,54,9.99998000004,3,25,1,13,166,5,9,0,1,0,0,0,0,1,0,0,Music
c6DOQ1i5KRU,33155208,151000,285,5,0,1,0,0,0.0,0,11,64,0,0.0,0,0.03448274673008733,29,175,5.068963769322838,3,17,1,8,1040,12,17,0,0,0,0,0,0,0,1,0,Music
MVDJxMxzTL0,106388326,542000,145,5,0,0,0,0,0.0,0,8,49,0,0.0,0,0.0,11,58,4.363632396697821,2,12,1,19,747,10,6,0,1,0,0,0,0,1,0,0,Music
8gy-Y9tWK6M,11337351,162000,155,5,0,0,0,0,0.0,0,6,34,0,0.0,0,0.1818180165290759,10,51,4.0999959000041,1,5,1,32,72,8,11,0,0,1,0,0,0,0,0,0,Music
14PLRhIEAy8,35962979,250000,238,5,0,0,0,0,0.0,2,4,35,0,0.0,0,0.0,7,66,8.285702448996503,1,7,1,33,133,6,11,0,0,0,0,1,0,0,0,0,Music
RGW5nMfZpp4,7986987,37000,246,5,0,0,1,0,0.0,0,9,71,0,0.0,0,0.0,25,182,5.959997616000954,3,16,1,21,89,7,25,0,1,0,0,0,0,1,0,0,Music
VTbo8E8es9A,41293676,241000,227,5,0,0,0,0,0.0,0,5,33,0,0.0,0,0.0,20,119,4.99999750000125,1,6,1,35,125,6,19,0,0,0,0,0,1,0,0,0,Music
y4lbxocj0Cg,21154811,237000,182,5,0,0,0,0,0.0,0,9,53,0,0.0,0,0.03571427295918823,27,161,4.925924101509592,1,15,1,25,206,3,30,0,1,0,0,0,0,0,0,1,Music
T3D7dlXry7s,148648304,627000,127,5,0,0,0,0,0.0,0,11,76,0,0.0,0,0.0,24,135,4.666664722223032,2,14,2,10,572,3,29,0,1,0,0,0,0,1,0,0,Music
20PlxmdUU6E,30087717,39000,229,5,0,0,0,0,0.0,0,14,79,0,0.0,0,0.030303021120296626,33,178,4.393938062443011,3,13,1,16,46,9,6,0,0,0,0,0,0,0,1,0,Music
oIv_Y2RPQ_A,13014936,147000,201,5,0,0,0,0,0.16666638888935187,0,5,23,0,0.0,0,0.0,11,68,5.181813471078663,2,11,1,22,68,8,15,0,1,0,0,0,0,1,0,0,Music
uiaipIsX8g0,21093073,364000,167,5,0,0,0,0,0.0,0,15,88,0,0.0,0,0.0,14,76,4.499996785716582,1,7,2,19,60,8,23,0,0,0,0,0,0,0,1,0,Music
zABLecsR5UE,1147223822,10000000,185,5,0,0,0,0,0.0,0,5,32,0,0.0,0,0.0,10,87,7.7999922000078,2,13,1,26,2246,8,29,0,0,0,0,0,1,0,0,0,Music
Vd09-_G_tD0,23336038,66000,129,5,0,0,1,0,0.0,0,6,33,0,0.0,0,0.0,18,97,4.388886450618639,2,12,1,12,54,8,29,0,1,0,0,0,0,1,0,0,Music
