video_id,views,likes,duration,category,has_questions,has_exclamations,has_numbers,has_emoji,title_caps_ratio,emoji_count,title_word_count,title_char_count,clickbait_count,clickbait_ratio,has_clickbait,des_caps_ratio,des_word_count,des_char_count,des_avg_word_len,channel_word_count,channel_char_count,channel_freq,tags_count,days_since_upload,upload_month,upload_day,upload_hour,is_weekend,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,category_label
ko70cExuzZM,77051145,1500000,238,6,0,0,0,0,0.0,0,9,54,0,0.0,0,0.0,9,48,4.444439506178327,2,12,1,9,17,10,5,0,1,0,0,0,0,0,0,1,Music
sr_qh33LsKQ,6916496,107000,15,6,0,0,0,0,0.0,0,4,28,0,0.0,0,0.0,7,70,8.999987142875511,1,6,1,17,8,10,14,0,0,0,1,0,0,0,0,0,Music
fTKqtvXjkvo,14235349,35000,8981,6,0,0,1,1,0.0,2,11,66,2,0.1818180165290759,1,0.0,66,383,4.818181088154381,2,12,1,26,117,6,27,0,1,0,0,0,0,1,0,0,Music
Oa_RSwwpPaA,825219529,5800000,193,6,0,0,0,0,0.0,0,7,51,0,0.0,0,0.0,18,146,6.999996111113272,2,12,1,22,643,1,18,0,0,0,0,0,1,0,0,0,Music
YcpMVsvK8pk,1239254,98000,6,6,0,0,0,0,0.0,0,6,46,0,0.0,0,0.0,6,46,6.666655555574074,2,12,1,25,2,10,20,0,0,1,0,0,0,0,0,0,Music
5GCfYLguTIs,9987113,228000,161,6,0,0,1,0,0.49999958333368055,0,10,73,0,0.0,0,0.0,5,35,5.9999880000240005,2,11,1,23,1,10,21,0,0,0,1,0,0,0,0,0,Music
TAIsoDq5v6c,18770361,142000,269,6,0,0,0,0,0.0,2,8,42,0,0.0,0,0.0,9,50,4.444439506178327,2,11,1,26,129,6,15,0,1,0,0,0,0,0,0,1,Music
Zrz1pQ0zFNM,2274521,17000,5450,6,0,0,0,1,0.0,3,10,62,2,0.1999998000002,1,0.0,59,372,5.288134696926322,2,14,14,4,382,10,5,0,0,0,0,0,0,0,1,0,Music
9V2Biv5CBDs,1868844,9200,6,6,0,0,0,1,0.0,2,10,62,2,0.1999998000002,1,0.0,43,269,5.23255692266118,2,14,14,18,358,10,29,0,0,0,1,0,0,0,0,0,Music
ZVuToMilP0A,91295225,482000,193,6,0,0,0,0,0.0,0,14,92,1,0.0714285204081997,1,0.0,10,66,5.6999943000057005,1,15,1,12,1468,10,15,0,1,0,0,0,0,1,0,0,Music
Qh8QwVYOSVU,169422401,919000,184,6,0,0,0,0,0.0,0,7,44,0,0.0,0,0.0,17,130,6.705878408306819,2,11,1,20,404,9,13,0,1,0,0,0,0,1,0,0,Music
byxFUKxhT3s,63139795,320000,185,6,0,0,0,0,0.0,3,4,28,0,0.0,0,0.0,15,144,8.333327777781482,1,7,5,20,175,4,30,0,0,0,0,1,0,0,0,0,Music
uRiB1tsFIkE,10053075,57000,197,6,0,0,0,0,0.24999937500156252,3,3,24,0,0.0,0,0.0499999750000125,14,143,8.928565051024965,1,7,5,24,88,7,26,0,0,0,0,0,0,0,1,0,Music
_uu_izpVSEc,19513125,120000,6,6,0,0,0,0,0.0,3,9,57,0,0.0,0,0.0,20,175,7.4999962500018755,1,7,5,23,108,7,6,0,1,0,0,0,0,0,0,1,Music
htk6MRjmcnQ,86812794,520000,192,6,0,0,0,0,0.0,3,6,41,0,0.0,0,0.0,15,145,7.999994666670222,1,7,5,27,113,7,1,0,0,0,1,0,0,0,0,0,Music
5QIQ5QHqDbw,39556632,275000,191,6,0,0,0,0,0.0,3,8,46,0,0.0,0,0.0,17,150,7.235289861594199,1,7,5,21,103,7,11,0,1,0,0,0,0,1,0,0,Music
j-RpvIuazmc,37226998,1500000,168,6,0,0,1,0,0.0,0,12,77,0,0.0,0,0.0,14,115,7.142852040819971,3,17,1,21,216,3,20,0,0,0,0,0,1,0,0,0,Music
b6-JNeXxN3s,54669315,517000,26,6,0,0,0,0,0.0,0,8,49,0,0.0,0,0.0,10,73,6.299993700006301,1,3,1,29,453,7,26,0,1,0,0,0,0,1,0,0,Music
Dh_HJrs7Zmg,794276,5600,5542,6,0,0,0,0,0.0,0,14,88,0,0.0,0,0.0,76,469,5.118420379155213,3,19,1,23,122,6,22,0,1,0,0,0,0,0,0,1,Music
hwUixddbmrQ,5257459,86000,21,6,0,0,0,0,0.11111098765445816,0,8,48,0,0.0,0,0.0,11,86,6.909084628104884,2,13,2,3,21,10,1,0,0,0,0,1,0,0,0,0,Music
